Start Time: 9/10/2024 3:29:54 PM
RDT Sample Rate: 500
Force Units: N
Counts per Unit Force: 1000000
Torque Units: Nm
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 33065, 17359, -0.01431401, 0.01147199, 0.2176189, -0.001873, 0.0004450008, -0.000109002, 15:31:09.638
0x0, 33066, 17360, -0.007305011, 0.01760197, 0.199152, -0.001738, -0.0001459997, 0.0002360009, 15:31:09.646
0x0, 33067, 17361, -0.002505004, 0.006440043, 0.1906071, -0.001901, -2.99979E-06, -4.599988E-05, 15:31:09.653
0x0, 33068, 17362, -0.003136009, -0.008563995, 0.2115583, -0.001293, -0.0002409993, 0.0003499985, 15:31:09.662
0x0, 33069, 17363, 0.0009239912, -0.005550981, 0.1874332, -0.001114, -0.0004349994, 0.0003030002, 15:31:09.670
0x0, 33070, 17364, -0.004474998, -0.001621008, 0.185277, -0.0009409999, -0.0001579998, 0.000434, 15:31:09.678
0x0, 33071, 17365, -0.004747003, 0.0009269714, 0.210454, -0.0009970004, -0.0005599996, 0.000372, 15:31:09.686
0x0, 33072, 17366, 0.003649995, 0.01698506, 0.185514, -0.001801, 0.0001920005, -0.0001490004, 15:31:09.694
0x0, 33073, 17367, -0.01669401, 0.01550806, 0.2072792, -0.001785, 0.0001390008, 0.0001709983, 15:31:09.701
0x0, 33074, 17368, 0.003082991, 0.01108503, 0.2042689, -0.001579, -0.0001289994, 0.0006099977, 15:31:09.711
0x0, 33075, 17369, -0.01122001, -0.01478803, 0.1858959, -0.001581, -0.0001059994, 0.0009509996, 15:31:09.718
0x0, 33076, 17370, -0.001302004, -0.014943, 0.2084513, -0.001124, -0.0003879992, -4.000217E-05, 15:31:09.725
0x0, 33077, 17371, -0.008347005, 0.007007957, 0.2078872, -0.00107, -2.599973E-05, 0.0004179999, 15:31:09.734
0x0, 33078, 17372, -0.01382801, 0.008255959, 0.1866622, -0.001796, 0.0003160005, -3.100187E-05, 15:31:09.742
0x0, 33079, 17373, -0.010647, 0.01326096, 0.2015681, -0.002152, -0.0001619998, 9.000301E-06, 15:31:09.750
